P,C,G,t (s),EJT,% C,S
40,30,50,88.37611294,32438.78306,0.777655421,0.643290235
40,30,50,97.38724089,32524.30089,0.952790697,0.919907131
40,30,50,94.08083892,32501.92791,0.906972203,0.848081058
40,30,50,93.66769528,32430.88489,0.761480463,0.599132134
40,30,50,91.13583231,32502.51863,0.908181969,0.863974984
40,30,50,92.29198241,32458.0154,0.817042072,0.694875266
40,30,50,91.84986782,32475.30523,0.852450595,0.758226866
40,30,50,89.9527669,32446.20468,0.792854444,0.662795676
40,30,50,92.1417954,32431.45627,0.762650603,0.605930622
40,30,50,86.86448455,32518.75987,0.941443033,0.950970333
40,30,50,88.48563528,32483.14093,0.868497615,0.801864291
40,30,50,86.19439888,32449.82956,0.800277975,0.689830205
40,30,50,89.89397573,32479.98223,0.862028791,0.783751253
40,30,50,87.09266686,32434.84905,0.769598822,0.634655421
40,30,50,85.34609222,32487.69061,0.877815095,0.834092602
40,30,50,84.98696947,32396.18147,0.69040999,0.517056452
40,30,50,92.00000906,32490.65129,0.883878372,0.814499982
40,30,50,86.22498655,32531.3151,0.967155365,1.007339636
40,40,50,112.3068695,32476.63599,0.85517591,0.690093212
40,40,50,123.5769913,32491.13143,0.884861666,0.704339351
40,40,50,105.9363787,32437.71483,0.775467749,0.584258338
40,40,50,110.6266451,32488.68669,0.879855001,0.736024622
40,40,50,113.5180056,32443.32235,0.786951612,0.58125096
40,40,50,112.2382953,32521.05919,0.946151901,0.844989284
40,40,50,110.0392842,32520.74126,0.94550079,0.852216451
40,40,50,108.5932279,32443.64565,0.787613715,0.595285315
40,40,50,111.1563928,32454.98273,0.810831361,0.623582406
40,40,50,110.634908,32389.24873,0.676212152,0.434730242
40,40,50,107.5544021,32540.30612,0.985568433,0.936611476
40,40,50,108.2874534,32523.24383,0.950625904,0.868420803
40,40,50,105.6961904,32526.48759,0.957268928,0.891329454
40,40,50,106.7712173,32457.41288,0.81580816,0.644093613
40,40,50,113.6930239,32522.62148,0.949351359,0.845253629
40,40,50,104.274482,32524.72682,0.953662976,0.890637186
40,40,50,105.6003778,32480.1903,0.862454908,0.723835801
40,40,50,108.3159895,32422.00805,0.743301233,0.530864178
40,40,50,104.2939091,32417.17976,0.73341318,0.526705615
40,40,50,108.2810125,32505.72543,0.914749292,0.804133231
40,50,50,126.5517104,32524.75384,0.953718312,0.808548793
40,50,50,132.9928091,32427.98064,0.755532734,0.494985515
40,50,50,127.3515811,32479.67479,0.861399183,0.657516629
40,50,50,141.6498978,32537.37308,0.979561731,0.806223563
